gameId,game,boxart,naRelDate2,euRelDate2,loosePrice,licensed,wikipediaUrl
1,10-Yard Fight,,1985-10-01,1985-12-01,325,1,/wiki/10-Yard_Fight
2,1942,,1986-11-01,,712,1,/wiki/1942_(video_game)
3,1943: The Battle of Midway,1943,1988-10-01,,900,1,/wiki/1943:_The_Battle_of_Midway
4,3-D WorldRunner,3-D World Runner,1987-09-01,,300,1,/wiki/3-D_WorldRunner
5,6 in 1,,,,0,0,/wiki/Caltron_6_in_1
6,720°,,1989-11-01,,0,1,/wiki/720%C2%B0
7,8 Eye's,8 Eyes,1990-01-01,,478,1,/wiki/8_Eye%27s
8,A Boy and His Blob: Trouble on Blobolonia,,1990-01-01,,585,1,/wiki/A_Boy_and_His_Blob:_Trouble_on_Blobolonia
9,A Nightmare on Elm Street,,1990-10-01,,1898,1,/wiki/A_Nightmare_on_Elm_Street_(franchise)#Merchandise
10,Abadox,,1990-03-01,1988-04-01,401,1,/wiki/Abadox
11,Action 52,,,,18500,0,/wiki/Action_52
12,Advanced Dungeons &amp; Dragons: DragonStrike,AD&D Dragon Strike,1992-07-01,,0,1,/wiki/DragonStrike_(video_game)
13,Advanced Dungeons &amp; Dragons: Heroes of the Lance,AD&D Heroes of the Lance,1991-01-01,,749,1,/wiki/Advanced_Dungeons_%26_Dragons:_Heroes_of_the_Lance
14,Advanced Dungeons &amp; Dragons: Hillsfar,AD&D Hillsfar,1993-02-01,,4500,1,/wiki/Hillsfar
15,Advanced Dungeons &amp; Dragons: Pool of Radiance,AD&D Pool of Radiance,1992-04-01,,1550,1,/wiki/Pool_of_Radiance
16,Adventure Island,,1988-09-01,,699,1,/wiki/Adventure_Island_(video_game)
17,Adventure Island 3,,1992-09-01,,2639,1,/wiki/Adventure_Island_3
18,Adventure Island II,,1991-02-01,1992-07-22,1170,1,/wiki/Adventure_Island_II
19,Adventures in the Magic Kingdom,,1990-06-01,1992-12-10,399,1,/wiki/Adventures_in_the_Magic_Kingdom
20,Adventures of Dino Riki,,1989-09-01,,400,1,/wiki/Adventures_of_Dino_Riki
21,Adventures of Lolo,,1989-04-01,,496,1,/wiki/Adventures_of_Lolo
22,Adventures of Lolo 2,,1990-03-01,1991-02-21,1920,1,/wiki/Adventures_of_Lolo_2
23,Adventures of Lolo 3,,1991-09-01,1992-05-27,2729,1,/wiki/Adventures_of_Lolo_3
24,After Burner,,,,549,0,/wiki/After_Burner
25,Air Fortress,,1989-09-01,,305,1,/wiki/Air_Fortress
26,Airwolf,,1989-06-01,,225,1,/wiki/Airwolf_(NES_video_game)
27,Al Unser Jr.'s Turbo Racing,,1990-03-01,,277,1,/wiki/Al_Unser_Jr.%27s_Turbo_Racing
28,Aladdin,,,1995-02-23,3500,1,/wiki/Disney%27s_Aladdin_(video_game)
29,Alfred Chicken,,1994-02-01,,2999,1,/wiki/Alfred_Chicken
30,Alien Syndrome,,,,477,0,/wiki/Alien_Syndrome
31,Alien3,,1993-03-01,,1000,1,/wiki/Alien3_(video_game)
