publisherId,publisher,wikipediaUrl
1,ASCII,/wiki/ASCII_(company)
2,Absolute Entertainment,/wiki/Absolute_Entertainment
3,Acclaim Entertainment,/wiki/Acclaim_Entertainment
4,Active Enterprises,/wiki/Active_Enterprises
5,Activision,/wiki/Activision
6,American Game Cartridges,/wiki/American_Game_Cartridges
7,American Sammy,/wiki/Sammy_Corporation
8,American Softworks,/wiki/ASC_Games
9,American Video Entertainment,/wiki/American_Video_Entertainment
10,Asmik,/wiki/Asmik_Ace_Entertainment
11,Atlus,/wiki/Atlus
12,Bandai,/wiki/Bandai
13,Brøderbund,/wiki/Br%C3%B8derbund
14,Bullet-Proof Software,/wiki/Blue_Planet_Software
15,Bunch Games,/wiki/Bunch_Games
16,C&amp;E,/w/index.php?title=C%26E&amp;action=edit&amp;redlink=1
17,Caltron,/wiki/Caltron_6_in_1
18,Camerica,/wiki/Camerica
19,Capcom,/wiki/Capcom
20,Codemasters,/wiki/Codemasters
21,Color Dreams,/wiki/Color_Dreams
22,Culture Brain,/wiki/Culture_Brain
23,Data East,/wiki/Data_East
24,Electro Brain,/wiki/Electro_Brain
25,Electronic Arts,/wiki/Electronic_Arts
26,Elite Systems,/wiki/Elite_Systems
27,Enix,/wiki/Enix
28,FCI,/wiki/Fujisankei_Communications_International
29,GameTek,/wiki/GameTek
30,Ge De Industry Co.,/w/index.php?title=Ge_De_Industry_Co.&amp;action=edit&amp;redlink=1
31,HAL Laboratory,/wiki/HAL_Laboratory
32,HES,/wiki/Home_Entertainment_Suppliers
33,Hi Tech Expressions,/wiki/Hi_Tech_Expressions
34,Hot B,/wiki/Hot_B
35,Hot-B,/wiki/Hot_B
36,Hudson Soft,/wiki/Hudson_Soft
37,Hwang Shinwei,/w/index.php?title=Hwang_Shinwei&amp;action=edit&amp;redlink=1
38,INTV,/wiki/Intellivision
39,Imagineer,/wiki/Imagineer_(Japanese_company)
40,Infogrames,"/wiki/Infogrames_Entertainment,_SA"
41,Irem,/wiki/Irem
42,JVC,/wiki/JVC
43,Jaleco,/wiki/Jaleco
44,Kemco,/wiki/Kemco
45,Koei,/wiki/Koei
46,Konami,/wiki/Konami
47,LJN,/wiki/LJN
48,Laser Beam Entertainment,/wiki/Krome_Studios_Melbourne
49,Loriciels,/wiki/Loriciels
50,LucasArts,/wiki/LucasArts
51,Matchbox,/wiki/Matchbox_(brand)
52,Mattel,/wiki/Mattel
53,Meldac,/wiki/Meldac
54,MicroProse,/wiki/MicroProse
55,Milton Bradley Company,/wiki/Milton_Bradley_Company
56,Mindscape,/wiki/Mindscape
57,NTVIC,/wiki/Nippon_Television
58,Namco,/wiki/Namco
59,Natsume,/wiki/Natsume_(company)
60,Nintendo,/wiki/Nintendo
61,Ocean Software,/wiki/Ocean_Software
62,Palcom,/wiki/Palcom
63,Panesian,/wiki/Panesian
64,Parker Brothers,/wiki/Parker_Brothers
65,RacerMate,/w/index.php?title=RacerMate&amp;action=edit&amp;redlink=1
66,Rare,/wiki/Rare_(company)
67,Romstar,/wiki/Romstar
68,SETA,/wiki/SETA_Corporation
69,SNK,/wiki/SNK
70,SOFEL,/wiki/SOFEL
71,Seika,/wiki/Seika_(company)
72,Software Creations,/wiki/Software_Creations_(UK)
73,Sony Imagesoft,/wiki/Sony_Imagesoft
74,Square,/wiki/Square_(company)
75,Storm,/wiki/Square_Enix_Europe#Beginnings_as_SCI
76,Sunsoft,/wiki/Sunsoft
77,THQ,/wiki/THQ
78,Taito,/wiki/Taito
79,Takara,/wiki/Takara
80,Taxan,/wiki/Taxan
81,Technōs Japan,/wiki/Techn%C5%8Ds_Japan
82,Tecmo,/wiki/Tecmo
83,Tengen,/wiki/Tengen_(company)
84,Titus,/wiki/Titus
85,Toho,/wiki/Toho
86,Tradewest,/wiki/Tradewest
87,Triffix,/wiki/Triffix
88,Ubisoft,/wiki/Ubisoft
89,Ultra Games,/wiki/Ultra_Games
90,Vic Tokai,/wiki/Vic_Tokai
91,Virgin Interactive,/wiki/Virgin_Interactive
92,Wisdom Tree,/wiki/Wisdom_Tree
